연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
28,중앙시장,삼일상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 93,94호","강원도 강릉시 성남동 50 중앙시장 1층 93,94호",033-641-2709,37.7543169,128.8982165,2021-12-10
29,중앙시장,충영상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 95,96호","강원도 강릉시 성남동 50 중앙시장 1층 95,96호",033-648-5119,37.754258,128.8982163,2021-12-10
30,중앙시장,"창고(97,98호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 97,98호","강원도 강릉시 성남동 50 중앙시장 1층 97,98호",,37.7540372,128.8982987,2021-12-10
31,중앙시장,승일상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 105,106호","강원도 강릉시 성남동 50 중앙시장 1층 105,106호",033-646-4640,37.752159,128.8982667,2021-12-10
32,중앙시장,부민상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 107,108호","강원도 강릉시 성남동 50 중앙시장 1층 107,108호",033-647-2881,37.754258,128.8982163,2021-12-10
33,중앙시장,해진상회,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 109~111호,강원도 강릉시 성남동 50 중앙시장 1층 109~111호,033-648-4701,37.7540372,128.8982987,2021-12-10
34,중앙시장,중앙불교사,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 1층 119~121호,강원도 강릉시 성남동 50 중앙시장 1층 119~121호,033-643-5989,37.7542528,128.8982338,2021-12-10
35,중앙시장,느낌표,09:30-19:30,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 122호,강원도 강릉시 성남동 50 중앙시장 1층 122호,,37.7541645,128.8982085,2021-12-10
36,중앙시장,세미양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 123호,강원도 강릉시 성남동 50 중앙시장 1층 123호,033-648-1530,37.7541828,128.8982153,2021-12-10
37,중앙시장,이윤양품,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 124호,강원도 강릉시 성남동 50 중앙시장 1층 124호,,37.7541546,128.8982258,2021-12-10
38,중앙시장,우정축산,09:00-18:00,축산물,강원도 강릉시 금성로 21 중앙시장 1층 125호,강원도 강릉시 성남동 50 중앙시장 1층 125호,033-648-6689,37.7541709,128.8982107,2021-12-10
39,중앙시장,옥토끼,09:00-20:00,기타,강원도 강릉시 금성로 21 중앙시장 1층 133~135호,강원도 강릉시 성남동 50 중앙시장 1층 133~135호,0507-1303-2477,37.7542114,128.8982912,2021-12-10
40,중앙시장,창고(136호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 136호,강원도 강릉시 성남동 50 중앙시장 1층 136호,,37.7541905,128.8982089,2021-12-10
41,중앙시장,창고(137호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 137호,강원도 강릉시 성남동 50 중앙시장 1층 137호,,37.7542212,128.8982776,2021-12-10
42,중앙시장,모아양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 138호,강원도 강릉시 성남동 50 중앙시장 1층 138호,033-642-5688,37.754195,128.8982329,2021-12-10
43,중앙시장,이화양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 139호,강원도 강릉시 성남동 50 중앙시장 1층 139호,033-642-8737,37.7541462,128.8982368,2021-12-10
44,중앙시장,닥터와플,09:00-18:00,기타,"강원도 강릉시 금성로 21 중앙시장 1층 147,148호","강원도 강릉시 성남동 50 중앙시장 1층 147,148호",,37.7543443,128.898261,2021-12-10
45,중앙시장,우신당,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 149호,강원도 강릉시 성남동 50 중앙시장 1층 149호,033-648-4471,37.7543477,128.8982147,2021-12-10
46,중앙시장,영진당,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 150호,강원도 강릉시 성남동 50 중앙시장 1층 150호,033-646-8461,37.754332,128.8982419,2021-12-10
47,중앙시장,청화당,09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 151,152호","강원도 강릉시 성남동 50 중앙시장 1층 151,152호",033-645-4288,37.7542783,128.898243,2021-12-10
48,중앙시장,창고(153호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 153호,강원도 강릉시 성남동 50 중앙시장 1층 153호,,37.7542011,128.8982969,2021-12-10
49,중앙시장,경비실,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 1층 161호,강원도 강릉시 성남동 50 중앙시장 1층 161호,033-648-2285,37.7543942,128.898289,2021-12-10
50,중앙시장,뷰티풀,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 162호,강원도 강릉시 성남동 50 중앙시장 1층 162호,,37.7544245,128.8982279,2021-12-10
51,중앙시장,빈점포(163호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 163호,강원도 강릉시 성남동 50 중앙시장 1층 163호,,37.7544241,128.8982348,2021-12-10
52,중앙시장,착한마켓,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 164호,강원도 강릉시 성남동 50 중앙시장 1층 164호,,37.7542896,128.8982117,2021-12-10
53,중앙시장,현지패션,09:00-19:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 165호,강원도 강릉시 성남동 50 중앙시장 1층 165호,0507-1411-1083,37.7542054,128.8982205,2021-12-10
54,중앙시장,라보엠패션,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 166호,강원도 강릉시 성남동 50 중앙시장 1층 166호,,37.7542089,128.8982793,2021-12-10
55,중앙시장,창고(173호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 173호,강원도 강릉시 성남동 50 중앙시장 1층 173호,,37.7542877,128.8982425,2021-12-10
56,중앙시장,승복의상실,09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 174,175호","강원도 강릉시 성남동 50 중앙시장 1층 174,175호",,37.7542539,128.8982071,2021-12-10
57,중앙시장,"창고(176,177호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 176,177호","강원도 강릉시 성남동 50 중앙시장 1층 176,177호",,37.7542167,128.8982863,2021-12-10
58,중앙시장,창고(178호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 178호,강원도 강릉시 성남동 50 중앙시장 1층 178호,,37.7541559,128.8982399,2021-12-10
59,중앙시장,"창고(7,8호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 7,8호","강원도 강릉시 성남동 50 중앙시장 1층 7,8호",,37.7537896,128.8982062,2021-12-10
60,중앙시장,창고(9호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 9호,강원도 강릉시 성남동 50 중앙시장 1층 9호,,37.7538168,128.898214,2021-12-10
61,중앙시장,성미용실,09:00-18:00,생활서비스,"강원도 강릉시 금성로 21 중앙시장 1층 10,11호","강원도 강릉시 성남동 50 중앙시장 1층 10,11호",033-646-0777,37.7537876,128.8982134,2021-12-10
62,중앙시장,창고(12호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 12호,강원도 강릉시 성남동 50 중앙시장 1층 12호,,37.7537702,128.8982763,2021-12-10
63,중앙시장,수입코너,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 19호,강원도 강릉시 성남동 50 중앙시장 1층 19호,,37.7539268,128.8982153,2021-12-10
64,중앙시장,"가방,청바지 리폼",09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 20호,강원도 강릉시 성남동 50 중앙시장 1층 20호,,37.7539609,128.8982363,2021-12-10
65,중앙시장,신라주단,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 21~24호,강원도 강릉시 성남동 50 중앙시장 1층 21~24호,033-648-8190,37.7538867,128.8982591,2021-12-10
66,중앙시장,대진커텐,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 1층 32호,강원도 강릉시 성남동 50 중앙시장 1층 32호,,37.7539385,128.8982154,2021-12-10
67,중앙시장,창고(33호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 33호,강원도 강릉시 성남동 50 중앙시장 1층 33호,,37.7539434,128.898238,2021-12-10
68,중앙시장,백억비닐,09:00-18:00,기타,"강원도 강릉시 금성로 21 중앙시장 1층 34,35호","강원도 강릉시 성남동 50 중앙시장 1층 34,35호",,37.7539084,128.8982766,2021-12-10
69,중앙시장,"삼우상회(36,37호)",09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 36,37호","강원도 강릉시 성남동 50 중앙시장 1층 36,37호",033-648-3211,37.7538685,128.898299,2021-12-10
70,중앙시장,교동상회,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 38호,강원도 강릉시 성남동 50 중앙시장 1층 38호,033-642-5443,37.7537976,128.8982164,2021-12-10
71,중앙시장,프로포즈,09:00-18:00,의류/잡화,"강원도 강릉시 금성로 21 중앙시장 1층 46,47호","강원도 강릉시 성남동 50 중앙시장 1층 46,47호",,37.7539042,128.898246,2021-12-10
72,중앙시장,"용상주단(48,49호)",09:00-18:00,침구/주단,"강원도 강릉시 금성로 21 중앙시장 1층 48,49호","강원도 강릉시 성남동 50 중앙시장 1층 48,49호",033-646-8934,37.7538931,128.8982813,2021-12-10
73,중앙시장,삼우상회(50호),09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 50호,강원도 강릉시 성남동 50 중앙시장 1층 50호,,37.7538472,128.8982949,2021-12-10
74,중앙시장,영림상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 51,52호","강원도 강릉시 성남동 50 중앙시장 1층 51,52호",033-642-1188,37.7538568,128.8982291,2021-12-10
75,중앙시장,용상주단(60~64호),09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 60~64호,강원도 강릉시 성남동 50 중앙시장 1층 60~64호,,37.7538568,128.8982451,2021-12-10
76,중앙시장,도토리식품,07:30-20:00,마트/식품,"강원도 강릉시 금성로 21 중앙시장 1층 65,66호","강원도 강릉시 성남동 50 중앙시장 1층 65,66호",033-646-0471,37.753873,128.8982138,2021-12-10
77,중앙시장,보금자리,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 74호,강원도 강릉시 성남동 50 중앙시장 1층 74호,033-646-1887,37.7540424,128.898299,2021-12-10
78,중앙시장,실과 바늘,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 75호,강원도 강릉시 성남동 50 중앙시장 1층 75호,033-641-7809,37.7538761,128.8982637,2021-12-10
79,중앙시장,진경주단,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 76~78호,강원도 강릉시 성남동 50 중앙시장 1층 76~78호,033-646-4212,37.7538761,128.8982848,2021-12-10
80,중앙시장,동천포목,09:00-18:00,침구/주단,"강원도 강릉시 금성로 21 중앙시장 1층 79,80호","강원도 강릉시 성남동 50 중앙시장 1층 79,80호",033-648-5011,37.7538012,128.8982755,2021-12-10
81,중앙시장,오렌지수선,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 87호,강원도 강릉시 성남동 50 중앙시장 1층 87호,,37.7540196,128.8982183,2021-12-10
82,중앙시장,부흥의상실,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 88호,강원도 강릉시 성남동 50 중앙시장 1층 88호,033-646-1408,37.7538025,128.8982572,2021-12-10
83,중앙시장,보물찾기,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 89~91호,강원도 강릉시 성남동 50 중앙시장 1층 89~91호,,37.7537014,128.8982851,2021-12-10
84,중앙시장,경포반찬,09:00-18:00,식당/음식,강원도 강릉시 금성로 21 중앙시장 1층 92호,강원도 강릉시 성남동 50 중앙시장 1층 92호,033-647-5249,37.7537817,128.8982025,2021-12-10
85,중앙시장,일억상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 99,100호","강원도 강릉시 성남동 50 중앙시장 1층 99,100호",033-642-2796,37.7540235,128.8982256,2021-12-10
86,중앙시장,보금상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 101,102호","강원도 강릉시 성남동 50 중앙시장 1층 101,102호",033-646-1172,37.75393,128.8982187,2021-12-10
87,중앙시장,한양건어물,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 103,104호","강원도 강릉시 성남동 50 중앙시장 1층 103,104호",033-646-3434,37.7593027,128.8982441,2021-12-10
88,중앙시장,창고(112~114호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 112~114호,강원도 강릉시 성남동 50 중앙시장 1층 112~114호,,37.7540183,128.8982414,2021-12-10
89,중앙시장,동원건어물,09:00-19:30,수산물,강원도 강릉시 금성로 21 중앙시장 1층 115~118호,강원도 강릉시 성남동 50 중앙시장 1층 115~118호,033-646-0722,37.7538823,128.8982473,2021-12-10
90,중앙시장,기라성양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 126호,강원도 강릉시 성남동 50 중앙시장 1층 126호,033-642-5226,37.754163,128.8982123,2021-12-10
91,중앙시장,수미양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 127호,강원도 강릉시 성남동 50 중앙시장 1층 127호,033-646-0902,37.7541806,128.8982396,2021-12-10
92,중앙시장,나나양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 128호,강원도 강릉시 성남동 50 중앙시장 1층 128호,033-647-7421,37.754145,128.8982355,2021-12-10
93,중앙시장,창고(129호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 129호,강원도 강릉시 성남동 50 중앙시장 1층 129호,,37.754069,128.898209,2021-12-10
94,중앙시장,충청건어물,09:00-18:00,수산물,강원도 강릉시 금성로 21 중앙시장 1층 130~132호,강원도 강릉시 성남동 50 중앙시장 1층 130~132호,033-642-5326,37.7538685,128.8982083,2021-12-10
95,중앙시장,서울수선,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 140호,강원도 강릉시 성남동 50 중앙시장 1층 140호,033-642-1842,37.7541404,128.8982246,2021-12-10
96,중앙시장,창고(141호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 141호,강원도 강릉시 성남동 50 중앙시장 1층 141호,,37.7541667,128.8982193,2021-12-10
97,중앙시장,현대양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 142호,강원도 강릉시 성남동 50 중앙시장 1층 142호,033-643-1460,37.754081,128.8982025,2021-12-10
98,중앙시장,미경이네,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 143호,강원도 강릉시 성남동 50 중앙시장 1층 143호,,37.7540928,128.8982829,2021-12-10
99,중앙시장,동희양품,09:00-18:00,의류/잡화,강원도 강릉시 금성로 21 중앙시장 1층 144호,강원도 강릉시 성남동 50 중앙시장 1층 144호,,37.7537191,128.8982322,2021-12-10
100,중앙시장,현대통상,09:00-18:00,전기/가전,"강원도 강릉시 금성로 21 중앙시장 1층 145,146호","강원도 강릉시 성남동 50 중앙시장 1층 145,146호",033-646-8119,37.7539787,128.8982038,2021-12-10
101,중앙시장,"창고(154,155호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 154,155호","강원도 강릉시 성남동 50 중앙시장 1층 154,155호",,37.7541696,128.8982061,2021-12-10
102,중앙시장,"풍원젓갈,장뇌삼",09:00-18:00,마트/식품,강원도 강릉시 금성로 21 중앙시장 1층 156호,강원도 강릉시 성남동 50 중앙시장 1층 156호,033-646-3365,37.7541655,128.8982432,2021-12-10
103,중앙시장,창고(157호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 157호,강원도 강릉시 성남동 50 중앙시장 1층 157호,,37.7541585,128.8982416,2021-12-10
104,중앙시장,수원한복,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 1층 158호,강원도 강릉시 성남동 50 중앙시장 1층 158호,,37.7541635,128.8982542,2021-12-10
105,중앙시장,동아상회,09:00-18:00,수산물,"강원도 강릉시 금성로 21 중앙시장 1층 159,160호","강원도 강릉시 성남동 50 중앙시장 1층 159,160호",033-643-2590,37.7541532,128.898257,2021-12-10
106,중앙시장,양장수선,09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 167호,강원도 강릉시 성남동 50 중앙시장 1층 167호,033-642-6694,37.7541579,128.8982478,2021-12-10
107,중앙시장,유림양행,09:00-18:00,생활서비스,"강원도 강릉시 금성로 21 중앙시장 1층 168,169호","강원도 강릉시 성남동 50 중앙시장 1층 168,169호",033-642-1551,37.7541706,128.8982397,2021-12-10
108,중앙시장,중앙홈패션(양장수선),09:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 170호,강원도 강릉시 성남동 50 중앙시장 1층 170호,033-642-0871,37.7541606,128.8982416,2021-12-10
109,중앙시장,"창고(171,172호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 171,172호","강원도 강릉시 성남동 50 중앙시장 1층 171,172호",,37.754156,128.8982544,2021-12-10
110,중앙시장,창고(179호),,기타,강원도 강릉시 금성로 21 중앙시장 1층 179호,강원도 강릉시 성남동 50 중앙시장 1층 179호,,37.7541655,128.8982732,2021-12-10
111,중앙시장,"창고(180,181호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 180,181호","강원도 강릉시 성남동 50 중앙시장 1층 180,181호",,37.7541184,128.8982904,2021-12-10
112,중앙시장,"창고(182,183호)",,기타,"강원도 강릉시 금성로 21 중앙시장 1층 182,183호","강원도 강릉시 성남동 50 중앙시장 1층 182,183호",,37.7540387,128.8982715,2021-12-10
113,중앙시장,유나미용실,10:00-18:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 1층 184호,강원도 강릉시 성남동 50 중앙시장 1층 184호,,37.7540498,128.8982324,2021-12-10
114,중앙시장,유선미용실,08:30-20:00,생활서비스,강원도 강릉시 금성로 21 중앙시장 2층 4호,강원도 강릉시 성남동 50 중앙시장 2층 4호,033-647-6750,37.7537616,128.898253,2021-12-10
115,중앙시장,순이네식당,08:00-21:00,식당/음식,강원도 강릉시 금성로 21 중앙시장 2층 5호,강원도 강릉시 성남동 50 중앙시장 2층 5호,,37.7536302,128.8982271,2021-12-10
116,중앙시장,소문난식당,08:00-20:30,식당/음식,강원도 강릉시 금성로 21 중앙시장 2층 6호,강원도 강릉시 성남동 50 중앙시장 2층 6호,033-655-1423,37.753593,128.8982539,2021-12-10
117,중앙시장,창고(7호),,기타,강원도 강릉시 금성로 21 중앙시장 2층 7호,강원도 강릉시 성남동 50 중앙시장 2층 7호,,37.753602,128.8982643,2021-12-10
118,중앙시장,창고(41호),,기타,강원도 강릉시 금성로 21 중앙시장 2층 41호,강원도 강릉시 성남동 50 중앙시장 2층 41호,,37.7538239,128.8982886,2021-12-10
119,중앙시장,고향먹거리,09:00-21:00,식당/음식,강원도 강릉시 금성로 21 중앙시장 2층 1호,강원도 강릉시 성남동 50 중앙시장 2층 1호,033-643-2828,37.7539251,128.8982729,2021-12-10
120,중앙시장,형제횟집,09:00-18:00,식당/음식,강원도 강릉시 금성로 21 중앙시장 2층 43-1호,강원도 강릉시 성남동 50 중앙시장 2층 43-1호,033-647-3389,37.7541341,128.8982893,2021-12-10
121,중앙시장,육개본가,08:00-20:00,식당/음식,강원도 강릉시 금성로 21 중앙시장 2층 43-2호,강원도 강릉시 성남동 50 중앙시장 2층 43-2호,033-641-2006,37.7541966,128.8982312,2021-12-10
122,중앙시장,소소,08:30-17:00,기타,강원도 강릉시 금성로 21 중앙시장 2층 8호,강원도 강릉시 성남동 50 중앙시장 2층 8호,033-641-6614,37.7537311,128.8982524,2021-12-10
123,중앙시장,아모레퍼시픽,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 2층 9호,강원도 강릉시 성남동 50 중앙시장 2층 9호,,37.7539813,128.8982377,2021-12-10
124,중앙시장,주영식당,11:00-22:00,식당/음식,"강원도 강릉시 금성로 21 중앙시장 2층 12,13호","강원도 강릉시 성남동 50 중앙시장 2층 12,13호",033-647-8765,37.7536627,128.8982999,2021-12-10
125,중앙시장,명품관광,10:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 2층 14호,강원도 강릉시 성남동 50 중앙시장 2층 14호,033-655-2771,37.7538005,128.8982696,2021-12-10
126,중앙시장,빈점포(15호),,기타,강원도 강릉시 금성로 21 중앙시장 2층 15호,강원도 강릉시 성남동 50 중앙시장 2층 15호,,37.7538173,128.8982868,2021-12-10
127,중앙시장,공연홀,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 2층,강원도 강릉시 성남동 50 중앙시장 2층,,37.7540049,128.8982898,2021-12-10
128,중앙시장,화진화장품,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 2층 16호,강원도 강릉시 성남동 50 중앙시장 2층 16호,,37.7541251,128.898263,2021-12-10
129,중앙시장,창고(17호),,기타,강원도 강릉시 금성로 21 중앙시장 2층 17호,강원도 강릉시 성남동 50 중앙시장 2층 17호,,37.7539314,128.8982733,2021-12-10
130,중앙시장,창고(18호),,기타,강원도 강릉시 금성로 21 중앙시장 2층 18호,강원도 강릉시 성남동 50 중앙시장 2층 18호,,37.7539187,128.898288,2021-12-10
131,중앙시장,고객쉼터 이음,11:00-17:00,기타,강원도 강릉시 금성로 21 중앙시장 2층,강원도 강릉시 성남동 50 중앙시장 2층,0507-1344-3717,37.7539713,128.8982628,2021-12-10
132,중앙시장,고운한복,09:00-18:00,침구/주단,강원도 강릉시 금성로 21 중앙시장 2층 19호,강원도 강릉시 성남동 50 중앙시장 2층 19호,033-655-1151,37.7542195,128.8982014,2021-12-10
133,중앙시장,유승 역술원,09:00-18:00,기타,강원도 강릉시 금성로 21 중앙시장 2층 20호,강원도 강릉시 성남동 50 중앙시장 2층 20호,033-648-6765,37.7543844,128.898254,2021-12-10
