순위,관광지명,주소,분류
71,정동진해변,강원 강릉시 정동역길 17-0,자연경관(하천/해양)
72,남춘천역,강원 춘천시 영서로 2260-0,교통시설
73,썬크루즈호텔&리조트,강원 강릉시 헌화로 950-39,콘도미니엄
74,속삭이는자작나무숲,강원 인제군,자연공원
75,삼척항,강원 삼척시 삼척항길 264-0,자연경관(하천/해양)
76,송지호해변,강원 고성군 오호2길 24-0,자연경관(하천/해양)
77,망상해수욕장,강원 동해시 동해대로 6270-21,자연경관(하천/해양)
78,영랑호리조트,강원 속초시 영랑호반길 170-0,콘도미니엄
79,소양강스카이워크,강원 춘천시 영서로 2663-0,랜드마크관광
80,소노펠리체CC 델피노,강원 고성군 미시령옛길 1153-0,육상레저스포츠
81,샤인데일골프앤리조트,강원 홍천군 한서로 247-156,육상레저스포츠
82,강릉시외버스터미널,강원 강릉시 하슬라로 27-0,교통시설
83,더플레이어스골프클럽,강원 춘천시 새술막길 438-0,육상레저스포츠
84,금호리조트설악,강원 속초시 사당골길 43-0,콘도미니엄
85,비발디파크,강원 홍천군 한치골길 262-0,육상레저스포츠
86,마운틴콘도,강원 정선군 하이원길 265-1,콘도미니엄
87,백담사,강원 인제군 백담로 746-0,종교성지
88,켄싱턴리조트설악밸리,강원 고성군 신평골길 8-25,콘도미니엄
89,옥스필드CC,강원 횡성군 경강로유현6길 28-0,육상레저스포츠
90,씨크루즈호텔,강원 속초시 청초호반로 273-0,호텔
91,소노문델피노,강원 고성군 미시령옛길 1153-0,콘도미니엄
92,발왕산케이블카,강원 평창군 올림픽로 715-0,기타관광
93,춘천시외버스터미널,강원 춘천시 경춘로 2341-0,교통시설
94,소노펠리체빌리지비발디파크,강원 홍천군 한치골길 541-123,콘도미니엄
95,제이드가든,강원 춘천시 햇골길 80-0,테마공원
96,용평리조트그린피아콘도,강원 평창군 올림픽로 715-0,콘도미니엄
97,맹방해변,강원 삼척시,자연경관(하천/해양)
98,씨마크호텔,강원 강릉시 해안로406번길 2-0,호텔
99,순담계곡,강원 철원군,자연경관(산)
100,주문진해변,강원 강릉시 주문북로 0-0,자연경관(하천/해양)
