연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준
30,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6-5,강원도 강릉시 주문진읍 교항리 188-11,,37.890977,128.827006,2021-12-10
31,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 8-2,강원도 강릉시 주문진읍 교항리 188-11,,37.891013,128.827009,2021-12-10
32,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6-3,강원도 강릉시 주문진읍 교항리 188-7,,37.890994,128.826943,2021-12-10
33,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6-1,강원도 강릉시 주문진읍 교항리 188-7,,37.891007,128.826866,2021-12-10
34,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6,강원도 강릉시 주문진읍 주문리 321-40,,37.890999,128.82679,2021-12-10
35,주문진종합시장,주문기름집,06:30-19:00,기타,강원도 강릉시 주문진읍 구시장길 7-2,강원도 강릉시 주문진읍 주문리 321-24,033-662-3448,37.891177,128.826643,2021-12-10
36,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 6-2,강원도 강릉시 주문진읍 주문리 321-39,,37.891028,128.826794,2021-12-10
37,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 5-5,강원도 강릉시 주문진읍 주문리 321-28,,37.891064,128.826636,2021-12-10
38,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 9-6,강원도 강릉시 주문진읍 주문리 321-7,,37.891323,128.826557,2021-12-10
39,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 9-4,강원도 강릉시 주문진읍 주문리 321-8,,37.891329,128.826593,2021-12-10
40,주문진종합시장,광동떡집,04:00-19:00,생활서비스,강원도 강릉시 주문진읍 구시장길 9-3,강원도 강릉시 주문진읍 주문리 321-23,,37.891241,128.826649,2021-12-10
41,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 11-3,강원도 강릉시 주문진읍 주문리 321-17,,37.891431,128.826902,2021-12-10
42,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 11-2,강원도 강릉시 주문진읍 주문리 312-266,,37.89144,128.826948,2021-12-10
43,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 13,강원도 강릉시 주문진읍 주문리 312-263,,37.891389,128.82711,2021-12-10
44,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 13-1,강원도 강릉시 주문진읍 주문리 312-262,,37.891364,128.827185,2021-12-10
45,주문진종합시장,대성그릇,07:00-19:00,생활용품,강원도 강릉시 주문진읍 시장길 41,강원도 강릉시 주문진읍 주문리 312-213,033-662-2088,37.89135,128.827281,2021-12-10
46,주문진종합시장,1층모아모아/ 모아모아 카페,10:00-19:00,식당/음식,강원도 강릉시 주문진읍 구시장길 8-1 1층,강원도 강릉시 주문진읍 주문리 321-52 1층 모아모아,,37.891249,128.82686,2021-12-10
47,주문진종합시장,"주문진종합시장상인회 사무실, 교육장",09:00-18:00,기타,강원도 강릉시 주문진읍 구시장길 8-1,강원도 강릉시 주문진읍 주문리 321-52,033-662-2180,37.891226,128.826929,2021-12-10
48,주문진종합시장,영동천막사,08:30-17:00,기타,강원도 강릉시 주문진읍 작은다리길 21-1,강원도 강릉시 주문진읍 교항리 187-5,033-662-2592,37.890589,128.82683,2021-12-10
49,주문진종합시장,복양춘,09:00-20:00,식당/음식,강원도 강릉시 주문진읍 작은다리길 23-1,강원도 강릉시 주문지읍 교항리 187-1,033-662-2501,37.890599,128.827048,2021-12-10
50,주문진종합시장,원일전기,08:00-18:00,전기/가전,강원도 강릉시 주문진읍 작은다리길 23-1,강원도 강릉시 주문진읍 교항리 187-4,033-662-3055,37.890584,128.826942,2021-12-10
51,주문진종합시장,형제수산,05:00-17:00,수산물,강원도 강릉시 주문진읍 작은다리길 21,강원도 강릉시 주문진읍 교항리 187-8,033-661-2240,37.890564,128.8267,2021-12-10
52,주문진종합시장,현대농수산,07:00-18:30,수산물,강원도 강릉시 주문진읍 구시장길 1-1,강원도 강릉시 주문진읍 교항리 188-2,033-662-7087,37.890714,128.826605,2021-12-10
53,주문진종합시장,양양기름집,06:00-18:00,생활 서비스,강원도 강릉시 주문진읍 구시장길 3,강원도 강릉시 주문진읍 주문리 188-3,033-662-5996,37.890765,128.826576,2021-12-10
54,주문진종합시장,오복이네,09:00-20:00,식당/음식,강원도 강릉시 주문진읍 구시장길 9-3,강원도 강릉시 주문진읍 주문리 321,,37.890799,128.826594,2021-12-10
55,주문진종합시장,풍년미곡옷수선,09:30-19:00,의류/잡화,강원도 강릉시 주문진읍 구시장길 3-2,강원도 강릉시 주문진읍 주문리 321-35,,37.89083,128.826596,2021-12-10
56,주문진종합시장,샘물건강원,07:00-20:00,생활서비스,강원도 강릉시 주문진읍 구시장길 3-4,강원도 강릉시 주문진읍 주문리 321-33,033-662-9186,37.890903,128.826597,2021-12-10
57,주문진종합시장,용소집,10:30-22:00,식당/음식,강원도 강릉시 주문진읍 구시장길 3-3,강원도 강릉시 주문진읍 주문리 321-34,,37.890863,128.826599,2021-12-10
58,주문진종합시장,작은다리닭집(폐업),,식당/음식,강원도 강릉시 주문진읍 구시장길 3-2,강원도 강릉시 주문진읍 주문리 321-36,033-662-1693,37.890942,128.826621,2021-12-10
59,주문진종합시장,정의상실,09:00-17:00,의류/잡화,강원도 강릉시 주문진읍 작은다리길 21,강원도 강릉시 주문진읍 교항리 187-8,,37.890606,128.826701,2021-12-10
60,주문진종합시장,영진식품,05:00-21:00,농산물/청과,강원도 강릉시 주문진읍 구시장길 7,강원도 강릉시 주문진읍 주문리 321-26,,37.890645,128.826703,2021-12-10
61,주문진종합시장,아야진생선,07:00-20:00,수산물,강원도 강릉시 주문진읍 시장1길 8,강원도 강릉시 주문진읍 주문리 312-219,033-661-7356,37.890922,128.827466,2021-12-10
62,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-4,강원도 강릉시 주문진읍 교항리 188-25,,37.890746,128.826806,2021-12-10
63,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-14,강원도 강릉시 주문진읍 교항리 188-29,,37.890729,128.827043,2021-12-10
64,주문진종합시장,빈점포,,기타,,,,37.890735,128.826981,2021-12-10
65,주문진종합시장,가영이네,07:00-18:00,수산물,강원도 강릉시 주문진읍 시장길 36,강원도 강릉시 주문진읍 교항리 1078,,37.890794,128.827436,2021-12-10
66,주문진종합시장,국제신발,08:00-18:00,의류/잡화,강원도 강릉시 주문진읍 시장길 33,강원도 강릉시 주문진읍 교항리 184-22,033-662-6446,37.890726,128.827158,2021-12-10
67,주문진종합시장,신일식품,07:00-18:00,마트/식품,강원도 강릉시 주문진읍 구시장길4-1,강원도 강릉시 주문진읍 주문리 321-52,300-661-0606,37.890941,128.826834,2021-12-10
68,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-6,강원도 강릉시 주문진읍 교항리 188-33,,37.890671,128.82684,2021-12-10
69,주문진종합시장,명동 백화점,09:00-20:00,의류/잡화,강원도 강릉시 주문진읍 구시장길 1,강원 강릉시 주문진읍 교항리 186-29,033-662-3021,37.890616,128.826591,2021-12-10
70,주문진종합시장,흥부네 생선구이,09:30-19:30,식당/음식,강원도 강릉시 주문진읍 구시장길 2-2,강원도 강릉시 주문진읍 교항리 188-23,033-661-3033,37.890749,128.826747,2021-12-10
71,주문진종합시장,영동 기름집,06:00-18:00,생활 서비스,강원도 강릉시 주문진읍 구시장길 4,강원도 강릉시 주문진읍 교항리 188-17,,37.890862,128.826801,2021-12-10
72,주문진종합시장,광동떡집,04:00-19:00,마트/식품,강원도 강릉시 주문진읍 구시장길 2-5,강원도 강릉시 주문진읍 교항리 188-18,033-662-1228,37.89083,128.826852,2021-12-10
73,주문진종합시장,대도상회,05:00-19:00,마트/식품,강원도 강릉시 주문진읍 시장길 33-2,주문진읍 교항리 1079,033-662-2342,37.890665,128.827147,2021-12-10
74,주문진종합시장,대광종묘사,07:00-18:00,생활용품,강원도 강릉시 주문진읍 시장길 35-1,주문진읍 교항리 1078,033-661-3186,37.890871,128.827177,2021-12-10
75,주문진종합시장,경동과일,07:30-19:00,농산물/청과,강원도 강릉시 주문진읍 시장길 33-1,강원도 강릉시 주문진읍 교항리 1078,,37.890779,128.827164,2021-12-10
76,주문진종합시장,중앙순대집,07:00-00:00,식당/음식,강원도 강릉시 주문진읍 시장길 33,강원 강릉시 주문진읍 교향리 184-22,033-662-3312,37.890825,128.827171,2021-12-10
77,주문진종합시장,비너스,09:30-20:00,의류/잡화,강원도 강릉시 주문진읍 작은다리길 23-1,강원도 강릉시 주문진읍 교항리 187-1,033-662-7050,37.890581,128.826999,2021-12-10
78,주문진종합시장,동남방앗간,07:00-17:00,생활서비스,강원도 강릉시 주문진읍 시장길 31-1,강원도 강릉시 주문진읍 교항리 1079,033-662-6767,37.890548,128.827124,2021-12-10
79,주문진종합시장,구인당,운영하고있지않음,식당/음식,강원도 강릉시 주문진읍 시장길 31,강원도 주문진읍 교항리 184-26,033-662-2128,37.890618,128.827138,2021-12-10
80,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 5-3,강원도 강릉시 주문진읍 주문리 321-29,,37.891017,128.826629,2021-12-10
81,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-9,강원도 강릉시 주문진읍 교항리 188-20,,37.890832,128.826959,2021-12-10
82,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 4-2,강원도 강릉시 주문진읍 교항리 188-21,,37.890871,128.826937,2021-12-10
83,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 5-1,강원도 강릉시 주문진읍 주문리 321-31,,37.890972,128.826624,2021-12-10
84,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 5-2,강원도 강릉시 주문진읍 주문리 321-30,,37.890997,128.826626,2021-12-10
85,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-8,강원도 강릉시 주문진읍 교항리 188-27,,37.890738,128.82693,2021-12-10
86,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-4,강원도 강릉시 주문진읍 교항리 188-25,,37.89074,128.826876,2021-12-10
87,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-4,강원도 강릉시 주문진읍 교항리 188-25,,37.890742,128.826843,2021-12-10
88,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-13,강원도 강릉시 주문진읍 교항리 188-22,,37.890835,128.827053,2021-12-10
89,주문진종합시장,빈점포,,기타,강원도 강릉시 주문진읍 구시장길 2-12,강원도 강릉시 주문진읍 교항리 187-6,,37.890665,128.826964,2021-12-10
