연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준
31,주문진수산시장,신똘똘이횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-2429,37.8911859783058,128.827731333235,2021-12-10
32,주문진수산시장,마리아네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.8911088546248,128.827631771854,2021-12-10
33,주문진수산시장,신똘똘이횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-2429,37.891150149794306,128.827674192158,2021-12-10
34,주문진수산시장,빙칠이네,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.8910963378582,128.827748896723,2021-12-10
35,주문진수산시장,전라도정임이횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38 주문진수산시장 144호,강원도 강릉시 주문진읍 주문리 312-91,033-662-3069,37.89113199526209,128.827825639168,2021-12-10
36,주문진수산시장,꽃순이대게,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장1길 4-1,강원도 강릉시 주문진읍 주문리 312-91,,37.8911880627311,128.827596891574,2021-12-10
37,주문진수산시장,시장 문어,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-661-1933,37.891196925426,128.827630752768,2021-12-10
38,주문진수산시장,신덕호상회,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-661-5837,37.891193465045,128.827662951805,2021-12-10
39,주문진수산시장,신똘똘이횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-662-2429,37.8911024528472,128.827684994416,2021-12-10
40,주문진수산시장,전라도정임이횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38 주문진수산시장 144호,강원도 강릉시 주문진읍 주문리 312-91,033-662-3069,37.8911776918253,128.827808304879,2021-12-10
41,주문진수산시장,대게세상,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장길 38,강원도 강릉시 주문진읍 주문리 312-91,033-661-7450,37.8911701850835,128.827870557025,2021-12-10
42,주문진수산시장,청년마차,08:00-22:00,생활용품,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,,37.891270283078896,128.827890646223,2021-12-10
43,주문진수산시장,경상도횟집,08:00-22:00,수산물,강원도 강릉시 주문진읍 시장2길 4,강원도 강릉시 주문진읍 주문리 312-439,033-652-4987,37.891085901617295,128.827923902378,2021-12-10
44,주문진수산시장,노브랜드,08:00-22:00,생활용품,강원도 강릉시 주문진읍 시장길 38 1층 노브랜드 주문진시장점,강원도 강릉시 주문진읍 주문리 312-91,033-662-9971,37.891479802132494,128.827933093518,2021-12-10
45,주문진수산시장,노브랜드,08:00-22:00,생활용품,강원도 강릉시 주문진읍 시장길 38 1층 노브랜드 주문진시장점,강원도 강릉시 주문진읍 주문리 312-91,033-662-9971,37.891452814280896,128.827992625067,2021-12-10
