연번,전통시장명,상호명,운영시간,업종구분,도로명주소,지번주소,전화번호,위도,경도,데이터기준일자
14,동부시장,미래,09:00-18:00,기타,"강원도 강릉시 옥천로 48 동부시장1층 23,24호","강원도 강릉시 옥천동 223 동부시장1층 23,24호",,37.760343,128.900739,2021-12-10
15,동부시장,별빛 소주방,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 25호,강원도 강릉시 옥천동 223 동부시장1층 25호,,37.760288,128.900739,2021-12-10
16,동부시장,더블유에셋,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 26호,강원도 강릉시 옥천동 223 동부시장1층 26호,,37.760299,128.900718,2021-12-10
17,동부시장,소문난 이쁜이,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 27호,강원도 강릉시 옥천동 223 동부시장1층 27호,,37.760262,128.900717,2021-12-10
18,동부시장,열정포차,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 28호,강원도 강릉시 옥천동 223 동부시장1층 28호,,37.760157,128.900691,2021-12-10
19,동부시장,진 의상실,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 55호,강원도 강릉시 옥천동 223 동부시장1층 55호,,37.759934,128.901129,2021-12-10
20,동부시장,수입옷방,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 56호,강원도 강릉시 옥천동 223 동부시장1층 56호,,37.75997,128.901027,2021-12-10
21,동부시장,독도네 창고,,기타,"강원도 강릉시 옥천로 48 동부시장1층 57,58호","강원도 강릉시 옥천동 223 동부시장1층 57,58호",,37.759921,128.901027,2021-12-10
22,동부시장,친구네 집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 59호,강원도 강릉시 옥천동 223 동부시장1층 59호,,37.759929,128.901132,2021-12-10
23,동부시장,남산집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 60호,강원도 강릉시 옥천동 223 동부시장1층 60호,,37.759943,128.901119,2021-12-10
24,동부시장,갤러리아트,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 61-1호,강원도 강릉시 옥천동 223 동부시장1층 61-1호,,37.759932,128.901083,2021-12-10
25,동부시장,동막골,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 61-2호,강원도 강릉시 옥천동 223 동부시장1층 61-2호,,37.759966,128.901094,2021-12-10
26,동부시장,골목집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 61-3호,강원도 강릉시 옥천동 223 동부시장1층 61-3호,,37.759981,128.901071,2021-12-10
27,동부시장,상인쉼터,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 62호,강원도 강릉시 옥천동 223 동부시장1층 62호,,37.760013,128.90103,2021-12-10
28,동부시장,아름다운 옷방,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 63호,강원도 강릉시 옥천동 223 동부시장1층 63호,,37.760033,128.900931,2021-12-10
29,동부시장,강릉 낙곱새,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 64호,강원도 강릉시 옥천동 223 동부시장1층 64호,,37.760156,128.900916,2021-12-10
30,동부시장,더스위터과일상점,09:00-18:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장1층 65호,강원도 강릉시 옥천동 223 동부시장1층 65호,,37.760132,128.900946,2021-12-10
31,동부시장,또와수선,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 66호,강원도 강릉시 옥천동 223 동부시장1층 66호,,37.760113,128.900976,2021-12-10
32,동부시장,골목집창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 67호,강원도 강릉시 옥천동 223 동부시장1층 67호,,37.760103,128.901005,2021-12-10
33,동부시장,남양슈퍼 창고,10:00-21:00,기타,강원도 강릉시 옥천로 48 동부시장1층 68호,강원도 강릉시 옥천동 223 동부시장1층 68호,033-648-4559,37.760076,128.901057,2021-12-10
34,동부시장,남양슈퍼 창고,,기타,강원도 강릉시 옥천로 48 동부시장1층 69호,강원도 강릉시 옥천동 223 동부시장1층 69호,033-648-4559,37.760215,128.901057,2021-12-10
35,동부시장,연희한복,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 70호,강원도 강릉시 옥천동 223 동부시장1층 70호,,37.760153,128.901139,2021-12-10
36,동부시장,동부식품,10:00-21:00,식당/음식,"강원도 강릉시 옥천로 48 동부시장1층 71,72호","강원도 강릉시 옥천동 223 동부시장1층 71,72호",,37.760183,128.901101,2021-12-10
37,동부시장,시골칼국수,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 73호,강원도 강릉시 옥천동 223 동부시장1층 73호,,37.760208,128.901069,2021-12-10
38,동부시장,치송 철학관,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 74호,강원도 강릉시 옥천동 223 동부시장1층 74호,,37.760235,128.901025,2021-12-10
39,동부시장,경민식품,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 76-2호,강원도 강릉시 옥천동 223 동부시장1층 76-2호,033-648-6661,37.760215,128.901057,2021-12-10
40,동부시장,시골집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 77호,강원도 강릉시 옥천동 223 동부시장1층 77호,,37.76039,128.900989,2021-12-10
41,동부시장,금강지업사,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 78호,강원도 강릉시 옥천동 223 동부시장1층 78호,,37.760423,128.901032,2021-12-10
42,동부시장,재벌식당,10:00-21:00,기타,강원도 강릉시 옥천로 48 동부시장1층 79호,강원도 강릉시 옥천동 223 동부시장1층 79호,,37.760423,128.901013,2021-12-10
43,동부시장,두피관리실,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 80호,강원도 강릉시 옥천동 223 동부시장1층 80호,,37.760381,128.901098,2021-12-10
44,동부시장,하서량힐링족욕카페,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 81호,강원도 강릉시 옥천동 223 동부시장1층 81호,,37.760338,128.901107,2021-12-10
45,동부시장,한마음기업,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 82호,강원도 강릉시 옥천동 223 동부시장1층 82호,,37.760239,128.901179,2021-12-10
46,동부시장,홀리데이빈티지,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 83호,강원도 강릉시 옥천동 223 동부시장1층 83호,,37.760275,128.901239,2021-12-10
47,동부시장,동부이용소,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 84호,강원도 강릉시 옥천동 223 동부시장1층 84호,,37.760247,128.901272,2021-12-10
48,동부시장,알뜨레맛집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 85호,강원도 강릉시 옥천동 223 동부시장1층 85호,,37.760199,128.901211,2021-12-10
49,동부시장,대의왕건강원,09:00-18:00,생활서비스,"강원도 강릉시 옥천로 48 동부시장1층 86,87호","강원도 강릉시 옥천동 223 동부시장1층 86,87호",033-655-8565,37.760174,128.901292,2021-12-10
50,동부시장,환미용실,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 88호,강원도 강릉시 옥천동 223 동부시장1층 88호,033-648-9439,37.760163,128.901366,2021-12-10
51,동부시장,빈점포,,기타,강원도 강릉시 옥천로 48 동부시장1층 89호,강원도 강릉시 옥천동 223 동부시장1층 89호,,37.760121,128.901346,2021-12-10
52,동부시장,시골집2호점,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 90-1호,강원도 강릉시 옥천동 223 동부시장1층 90-1호,,37.760076,128.901228,2021-12-10
53,동부시장,제사음식전문점,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 90-2호,강원도 강릉시 옥천동 223 동부시장1층 90-2호,,37.760076,128.901228,2021-12-10
54,동부시장,감초식당,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 91호,강원도 강릉시 옥천동 223 동부시장1층 91호,,37.760065,128.901149,2021-12-10
55,동부시장,동부옹심이,10:00-21:00,식당/음식,"강원도 강릉시 옥천로 48 동부시장1층 92,93호","강원도 강릉시 옥천동 223 동부시장1층 92,93호",033-644-4765,37.759999,128.901141,2021-12-10
56,동부시장,빵빵대게,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 94호,강원도 강릉시 옥천동 223 동부시장1층 94호,,37.760011,128.901216,2021-12-10
57,동부시장,남양슈퍼,,기타,"강원도 강릉시 옥천로 48 동부시장1층 95,96,97호","강원도 강릉시 옥천동 223 동부시장1층 95,96,97호",033-648-4559,37.759988,128.901387,2021-12-10
58,동부시장,물레방앗간,09:00-18:00,마트/식품,"강원도 강릉시 옥천로 48 동부시장1층 1,2,3호","강원도 강릉시 옥천동 223 동부시장1층 1,2,3호",033-648-6198,37.760148,128.900979,2021-12-10
59,동부시장,귀래양품,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 4호,강원도 강릉시 옥천동 223 동부시장1층 4호,,37.760114,128.900818,2021-12-10
60,동부시장,물레방아창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 5.6호,강원도 강릉시 옥천동 223 동부시장1층 5.6호,,37.760072,128.90084,2021-12-10
61,동부시장,득영잡화,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 7호,강원도 강릉시 옥천동 223 동부시장1층 7호,,37.760038,128.90099,2021-12-10
62,동부시장,미인들패션,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 8호,강원도 강릉시 옥천동 223 동부시장1층 8호,,37.760139,128.900829,2021-12-10
63,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 9호,강원도 강릉시 옥천동 223 동부시장1층 9호,,37.760055,128.900872,2021-12-10
64,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 10호,강원도 강릉시 옥천동 223 동부시장1층 10호,,37.760038,128.900818,2021-12-10
65,동부시장,앙큼,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 11호,강원도 강릉시 옥천동 223 동부시장1층 11호,,37.760114,128.900872,2021-12-10
66,동부시장,엘레강스,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 12호,강원도 강릉시 옥천동 223 동부시장1층 12호,,37.76008,128.900872,2021-12-10
67,동부시장,맛나생선조림,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 29호,강원도 강릉시 옥천동 223 동부시장1층 29호,,37.76008,128.900947,2021-12-10
68,동부시장,대관령돼지갈비창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 31호,강원도 강릉시 옥천동 223 동부시장1층 31호,,37.760139,128.900743,2021-12-10
69,동부시장,왕산골식당,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 32.33호,강원도 강릉시 옥천동 223 동부시장1층 32.33호,,37.760105,128.900829,2021-12-10
70,동부시장,윤경식당,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 34호,강원도 강릉시 옥천동 223 동부시장1층 34호,,37.76008,128.900872,2021-12-10
71,동부시장,놀러와포차,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 35호,강원도 강릉시 옥천동 223 동부시장1층 34호,,37.760148,128.900829,2021-12-10
72,동부시장,황금손 소주방,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 36호,강원도 강릉시 옥천동 223 동부시장1층 34호,,37.760097,128.900915,2021-12-10
73,동부시장,명성건강원,09:00-18:00,의료/ 건강,강원도 강릉시 옥천로 48 동부시장1층 37.38호,강원도 강릉시 옥천동 223 동부시장1층 37.38호,033-647-8974,37.760105,128.900872,2021-12-10
74,동부시장,선경식당 ,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 39호,강원도 강릉시 옥천동 223 동부시장1층 39호,033-645-4403,37.760046,128.900893,2021-12-10
75,동부시장,로즈,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 39호,강원도 강릉시 옥천동 223 동부시장1층 40호,,37.760122,128.900893,2021-12-10
76,동부시장,자유패션 ,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 39호,강원도 강릉시 옥천동 223 동부시장1층 41호,,37.760105,128.900818,2021-12-10
77,동부시장,자유패션,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 41-1호,강원도 강릉시 옥천동 223 동부시장1층 41-1호,,37.760072,128.900872,2021-12-10
78,동부시장,수연미용실,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 42호 ,강원도 강릉시 옥천동 223 동부시장1층 42호,,37.76008,128.900786,2021-12-10
79,동부시장,로즈창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 43호,강원도 강릉시 옥천동 223 동부시장1층 43호,033-647-2893,37.760131,128.900872,2021-12-10
80,동부시장,꼬막포차,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 44호,강원도 강릉시 옥천동 223 동부시장1층 44호,,37.760097,128.900829,2021-12-10
81,동부시장,수정찻집,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 45호,강원도 강릉시 옥천동 223 동부시장1층 45호,033-648-2340,37.760148,128.900893,2021-12-10
82,동부시장,멋내기구제,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 46호,강원도 강릉시 옥천동 223 동부시장1층 46호,,37.760182,128.900818,2021-12-10
83,동부시장,한미대구머리찜창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 47호,강원도 강릉시 옥천동 223 동부시장1층 47호,033-652-4855,37.760139,128.900786,2021-12-10
84,동부시장,린나이종합대리점,09:00-18:00,전기/가전,강원도 강릉시 옥천로 48 동부시장1층 48호,강원도 강릉시 옥천동 223 동부시장1층 48호,033-646-6699,37.760148,128.900893,2021-12-10
85,동부시장,다산에너지,09:00-18:00,전기/가전,강원도 강릉시 옥천로 48 동부시장1층 49호,강원도 강릉시 옥천동 223 동부시장1층 49호,033-646-6699,37.760156,128.900797,2021-12-10
86,동부시장,시몽1,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 50호,강원도 강릉시 옥천동 223 동부시장1층 50호,033-646-1607,37.760021,128.90084,2021-12-10
87,동부시장,시몽2,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장1층 51호,강원도 강릉시 옥천동 223 동부시장1층 51호,,37.760012,128.900893,2021-12-10
88,동부시장,강원 미소간병,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 52호,강원도 강릉시 옥천동 223 동부시장1층 52호,,37.760021,128.900893,2021-12-10
89,동부시장,품바각설이,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 53호,강원도 강릉시 옥천동 223 동부시장1층 53호,,37.760156,128.900872,2021-12-10
90,동부시장,화장품판매점심쿵,09:00-18:00,생활서비스,강원도 강릉시 옥천로 48 동부시장1층 54호,강원도 강릉시 옥천동 223 동부시장1층 54호,,37.760055,128.900915,2021-12-10
91,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 98호,강원도 강릉시 옥천동 223 동부시장1층 98호,,37.760105,128.900807,2021-12-10
92,동부시장,빈점포,,기타,강원도 강릉시 옥천로 48 동부시장1층 99호,강원도 강릉시 옥천동 223 동부시장1층 98호,,37.760114,128.900797,2021-12-10
93,동부시장,돼지식당,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 100호,강원도 강릉시 옥천동 223 동부시장1층 98호,033-646-9651,37.760114,128.900797,2021-12-10
94,동부시장,금강복지센타,09:00-18:00,생활 서비스,강원도 강릉시 옥천로 48 동부시장1층 101호,강원도 강릉시 옥천동 223 동부시장1층 98호,,37.760088,128.900872,2021-12-10
95,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 102호,강원도 강릉시 옥천동 223 동부시장1층 98호,,37.760105,128.90084,2021-12-10
96,동부시장,꼬막포차/창고,,기타,강원도 강릉시 옥천로 48 동부시장1층 103호,강원도 강릉시 옥천동 223 동부시장1층 98호,,37.760139,128.900883,2021-12-10
97,동부시장,기사통닭,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 104호,강원도 강릉시 옥천동 223 동부시장1층 98호,033-648-7363,37.760114,128.90084,2021-12-10
98,동부시장,염가네꼬막포차2,10:00-21:00,식당/음식,"강원도 강릉시 옥천로 48 동부시장1층 105,106호","강원도 강릉시 옥천동 223 동부시장1층 105,106호",,37.760088,128.900765,2021-12-10
99,동부시장,염가네꼬막포차1,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 107호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760156,128.900915,2021-12-10
100,동부시장,동부열쇠,09:00-18:00,생활 서비스,강원도 강릉시 옥천로 48 동부시장1층 108호,강원도 강릉시 옥천동 223 동부시장1층 107호,033-645-0484,37.760055,128.900807,2021-12-10
101,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 109호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760072,128.900818,2021-12-10
102,동부시장,도경레스카페,09:00-18:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 110호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760156,128.900883,2021-12-10
103,동부시장,강원장의나라,09:00-18:00,생활 서비스,강원도 강릉시 옥천로 48 동부시장1층 111호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760097,128.900893,2021-12-10
104,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 112호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760156,128.90085,2021-12-10
105,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 113호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760072,128.900883,2021-12-10
106,동부시장,해피세탁소,09:00-18:00,생활 서비스,강원도 강릉시 옥천로 48 동부시장1층 114호,강원도 강릉시 옥천동 223 동부시장1층 107호,033-645-7420,37.76008,128.900818,2021-12-10
107,동부시장,충남해장국,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 116호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.76008,128.900893,2021-12-10
108,동부시장,벌때식당,10:00-21:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 117호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760114,128.900883,2021-12-10
109,동부시장,이숙청과,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 118호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.76019,128.900861,2021-12-10
110,동부시장,방실이실내마차창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장1층 119호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760122,128.900829,2021-12-10
111,동부시장,빈점포 ,,기타,강원도 강릉시 옥천로 48 동부시장1층 120호,강원도 강릉시 옥천동 223 동부시장1층 107호,,37.760131,128.900765,2021-12-10
112,동부시장,복실이식당,09:00-18:00,식당/음식,강원도 강릉시 옥천로 48 동부시장1층 121호,강원도 강릉시 옥천동 223 동부시장1층 107호,033-646-6711,37.760122,128.900807,2021-12-10
113,동부시장,독도네 창고2,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 201호,강원도 강릉시 옥천동 223 동부시장2층 201호,,37.759615,128.900636,2021-12-10
114,동부시장,㈜하슬라파트너스,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 202-1호,강원도 강릉시 옥천동 223 동부시장2층 202-1호,,37.759626,128.900571,2021-12-10
115,동부시장,"문재필,신만례",09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 202-2호,강원도 강릉시 옥천동 223 동부시장2층 202-2호,,37.759634,128.900521,2021-12-10
116,동부시장,노인수발센타,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 203호,강원도 강릉시 옥천동 223 동부시장2층 203호,033-641-0222,37.759708,128.900553,2021-12-10
117,동부시장,노인수발센타,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 203-1호,강원도 강릉시 옥천동 223 동부시장2층 203-1호,,37.759745,128.90058,2021-12-10
118,동부시장,광명떡공장,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 204호,강원도 강릉시 옥천동 223 동부시장2층 204호,033-648-6733,37.760103,128.900671,2021-12-10
119,동부시장,묵호떡공장,09:00-18:00,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 206호,강원도 강릉시 옥천동 223 동부시장2층 206호,033-644-9106,37.760196,128.900703,2021-12-10
120,동부시장,안동쪽방,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 209호,강원도 강릉시 옥천동 223 동부시장2층 209호,,37.760277,128.900723,2021-12-10
121,동부시장,게임방직원식당,09:00-18:00,마트/식품,강원도 강릉시 옥천로 48 동부시장2층 211호,강원도 강릉시 옥천동 223 동부시장2층 211호,,37.760454,128.900775,2021-12-10
122,동부시장,안동중간방,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 212-1호,강원도 강릉시 옥천동 223 동부시장2층 212-1호,,37.760413,128.900848,2021-12-10
123,동부시장,권향자,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 213호,강원도 강릉시 옥천동 223 동부시장2층 213호,,37.76033,128.900835,2021-12-10
124,동부시장,전영만,09:00-18:00,기타,"강원도 강릉시 옥천로 48 동부시장2층 215-1,2호","강원도 강릉시 옥천동 223 동부시장2층 215-1,2호",,37.760251,128.900817,2021-12-10
125,동부시장,동부시장주식회사(재건축),09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 216호,강원도 강릉시 옥천동 223 동부시장2층 216호,,37.759888,128.900706,2021-12-10
126,동부시장,은빛미용실,09:00-20:00,생활서비스,강원도 강릉시 옥천로 48 동부시장2층 217호,강원도 강릉시 옥천동 223 동부시장2층 217호,,37.75993,128.900722,2021-12-10
127,동부시장,라이프상사(전기장판등 잡화),10:00-21:00,전기/가전,강원도 강릉시 옥천로 48 동부시장2층 218호,강원도 강릉시 옥천동 223 동부시장2층 218호,,37.760012,128.900729,2021-12-10
128,동부시장,미정슈퍼,09:00-18:00,전기/가전,강원도 강릉시 옥천로 48 동부시장2층 219호,강원도 강릉시 옥천동 223 동부시장2층 219호,,37.760062,128.900741,2021-12-10
129,동부시장,시민상회,10:00-21:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장2층 220호,강원도 강릉시 옥천동 223 동부시장2층 220호,,37.760121,128.900752,2021-12-10
130,동부시장,진실상회창고,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 221호,강원도 강릉시 옥천동 223 동부시장2층 221호,,37.760155,128.900802,2021-12-10
131,동부시장,텔레콤,09:00-18:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장2층 222호,강원도 강릉시 옥천동 223 동부시장2층 222호,,37.760204,128.900811,2021-12-10
132,동부시장,대원식육점,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 223호,강원도 강릉시 옥천동 223 동부시장2층 223호,,37.760251,128.90082,2021-12-10
133,동부시장,부자분식(가정집),,식당/음식,강원도 강릉시 옥천로 48 동부시장2층 224호,강원도 강릉시 옥천동 223 동부시장2층 224호,,37.760294,128.900835,2021-12-10
134,동부시장,경인식품,10:00-21:00,농산물/청과,강원도 강릉시 옥천로 48 동부시장2층 225호,강원도 강릉시 옥천동 223 동부시장2층 225호,,37.760347,128.900857,2021-12-10
135,동부시장,권석동,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 226호,강원도 강릉시 옥천동 223 동부시장2층 226호,033-648-3773,37.760263,128.900965,2021-12-10
136,동부시장,트라파니투자개발,09:00-18:00,기타,강원도 강릉시 옥천로 48 동부시장2층 227호,강원도 강릉시 옥천동 223 동부시장2층 227호,,37.76023,128.90101,2021-12-10
137,동부시장,삼보식품,09:00-18:00,의류/잡화,강원도 강릉시 옥천로 48 동부시장2층 228호,강원도 강릉시 옥천동 223 동부시장2층 228호,,37.760185,128.90107,2021-12-10
138,동부시장,백규선,,기타,강원도 강릉시 옥천로 48 동부시장2층 229호,강원도 강릉시 옥천동 223 동부시장2층 229호,,37.76041,128.901016,2021-12-10
139,동부시장,천오식당,,기타,강원도 강릉시 옥천로 48 동부시장2층 230호,강원도 강릉시 옥천동 223 동부시장2층 230호,,37.760357,128.901075,2021-12-10
140,동부시장,길손마차,,기타,강원도 강릉시 옥천로 48 동부시장2층 231호,강원도 강릉시 옥천동 223 동부시장2층 231호,,37.760301,128.901154,2021-12-10
141,동부시장,(주)청명,,기타,강원도 강릉시 옥천로 48 동부시장2층 232호,강원도 강릉시 옥천동 223 동부시장2층 232호,,37.760229,128.901262,2021-12-10
