번호,통화일시,신고내역(위치),동물종
482,2022-04-25 09:25,송정한신 더휴에서 뚝방길 부근 토지매매 현수막 붙여 있는 부근 고양이 로드킬 신고 ,고양이
483,2022-04-26 11:50,남산막국수앞에 도로에 고라니있음. ,고라니
484,2022-04-27 09:40,"[로드킬]카페브로 도로앞  교동~중앙감리교회 초당동 나가는 도로변 ,고라니 사체",고라니
485,2022-04-27 16:05,다친 고라니 신고.택지~경포5거리 방향의 동천해물찜 조금지나 전봇대 근처 숲으로 일단 들어갔음.,고라니
486,2022-05-02 10:51,[로드킬]안현동 737 동신원예종묘 건너편 2차선도로에 강아지? 사체,강아지
487,2022-05-03 09:25,"고라니사체, 회산로 43-29호 앞도로",고라니
488,2022-05-04 08:34,고라니 사체 임압로32 더샵아파트 방향으로 조금가면 인도에 있음,고라니
489,2022-05-04 11:09,[로트킬] 강릉~주문진 국도 타고 가다보면 주문진 터미널 내려가는 길에  강아지 사체,강아지
490,2022-05-04 11:38,고양이사체 신고강릉~주문진방향으로 신생빌라 쪽으오 내려가는 내리막길 도로에 있음,고양이
491,2022-05-06 10:55,강릉 법원~ 아산병원 가는방량.70 km 속도제한 가기전에 강아지 사체 있음.,강아지
492,2022-05-06 11:12,"[로드킬] 강릉에서 아산병원가는 방향 도로 오른쪽에  SK주유소 못미쳐서 동물사체, 뭔지는 모르겠고 덩치가 큼",불명
493,2022-05-06 16:45,사천 -다친 까치 도움 요청,까치
494,2022-05-09 09:32,로드킬 -> 7번국도에서 강동면 보성레미콘 방향에서 동해 방향 제설비축창고가 있는 바로 맞은편 고라니 로드킬 신고 전화를 주심,고라니
495,2022-05-09 13:38,"교동택지 올리브영앞, 쇼크중인 고양이 있다고 연락주심",고양이
496,2022-05-10 12:36,"국도에 고라니 사체 - 7번국도 위, 시내 - 임곡리 쓰레기매립장 가는 방향 도로 . GS충전소 지나서. 임곡천교 지나서 오르막길",고라니
497,2022-05-11 12:51,"노루사체,  과학단지로105 HASS 회사정문앞",노루
498,2022-05-12 08:30,로드킬 -> 남강릉 ic 들어오늘 입구 동해에서 남강릉 방향 하이패스 들어오기 전,불명
499,2022-05-23 09:07,"강동면 모전리, 동그린 에서 올라가다 보면 장작골 다리 가기전 산불감지초소 가기 전 오소리 로드킬, 부패됨, ",오소리
500,2022-05-23 12:59,비둘기가 다쳤다고 문의 입암2주공 놀이터 ,비둘기
501,2022-05-24 08:33,박월동 강릉수영장에서 농기계 사업소 가는방향 도로변 중앙선에 고라니 사체있음,고라니
502,2022-05-24 09:12,남강릉에서 강릉방향 과속카메라 있는 쪽 중앙 가드레일 쪽 고라니 로드킬 신고 ,고라니
503,2022-05-24 16:14,"새가  눈을 다쳐서 민원인댁 마당에 왔다고 구조문의, 강동면 풍호안길95-6 (하시동리)",새
504,2022-05-24 16:36,월화거리임 자전거가 비둘기를 쳐서 죽음 사체처리해달라고 하심  베니닭강정앞,비둘기
505,2022-05-26 15:44,주문진 터미널오거리 부근(도립대~터미널방향) 타이어뱅크 조금 못미쳐 고양이사체 있다고 신고,고양이
506,2022-05-26 16:50,주문진. 큰다리에서 중학교 방향으로 큰다리 끝나는 지점에 고양이 사체 ,고양이
507,2022-05-26 17:18,우미린아파트 관리사무실. 둥지에서 새끼새 몇마리가 떨어져있어 구조해가는곳 문의,새
508,2022-05-27 11:54,고라니사체 신고연곡~소금강방향. 송림4거리 500미터 전 2차선 도로에 있음.,고라니
509,2022-05-30 14:18,"동물사체 신고,유천택지  더테라스~사임당로 4거리 신호등 있는 부근",불명
510,2022-05-31 16:35,고양이로드킬신고사천갈골한과 조금 지나서 있음.,고양이
511,2022-06-03 09:03,길고양이 로드킬- 내곡한라아파트 앞 디스카운트 도로에 있음,고양이
512,2022-06-03 17:54,"고양이 사체 - 우미린쪽앞 도로갓에 고양이 사체 있음.  우미린 아파트, 미디어촌 사이 공원앞 도로 ",고양이
513,2022-06-03 18:08,"동물사체 - 홍제동, 도로 쪽에 고양이가 죽어있어 , 우미린 아파트랑 미디어촌 5단지 사이 정자 옆에 자전거 대는 곳이 있는데 고양이 시체가 있어서 전화주심.",고양이
514,2022-06-07 08:31,강릉 ~ 아산병원 방향 고가 고라니 로드킬 신고 ,고라니
515,2022-06-07 08:48,고양이 로드킬 -  내곡 기산아파트 앞 (구정에서 관동대학교 가는방향) ,고양이
516,2022-06-07 15:24,고양이로드킬신고연곡면 농산물가공센터에서 500m정도 올라가서 반대편 도로에있음.,고양이
517,2022-06-08 08:56,다람쥐 로드킬 신고강남 축구공원에서 입암동 넘어가는 회전교차로 ,다람쥐
518,2022-06-10 09:44,고라니 사체 신고(주문진에서 강릉방향으로 북강릉농협 부근 2차선 도로에 고라니사체 있음),고라니
519,2022-06-13 13:36,"비둘기 사체 - 입암동 성덕로 316-11 도로, 디저트 39상가 앞",비둘기
520,2022-06-13 17:14,"동물 사체 - 시내 양돈농협앞, 고양이 사체 ",고양이
521,2022-06-13 17:27,[로드킬]시내한복판 뱅뱅 앞 도로 고양이 사체,고양이
522,2022-06-14 12:38,"칠봉로592-33,애술고 부근, 구정면 제비1리 경로당에서 철로교각밑에서 좌회전후  다시 우회전해서 하천변따라 가다보면 다친 고라니가 물에 앉아있다고 함. ",고라니
523,2022-06-14 12:58,"칠봉로592-33,애술고 부근, 구정면 제비1리 경로당에서 철로교각밑에서 좌회전후  다시 우회전해서 하천변따라 가다보면 다친 고라니가 물에 앉아있다고 함. ",고라니
524,2022-06-15 09:45,국민콜 -고라니사체 신고.(사임당로 70 건물앞 도로에있음),고라니
525,2022-06-16 17:56,[로드킬]가게앞 도로변 강아지사체; 강릉역~옛날소방서 자리 가는 도로변,강아지
526,2022-06-20 16:19,"이마트뒤에 뚝방길 차다니는도로 고양이 사체있음,",고양이
527,2022-06-20 17:11,고양이로드킬 - 이마트 회전교차로 가기전 부근  ,고양이
528,2022-06-22 15:28,연곡면 영진리 삼천리아파트 웅벽 바로 옆 도로변에 고양이 로드킬 신고 전화를 주심 ,고양이
529,2022-06-22 16:44,"구정 여찬리 주택단지 마을, 전봇대 밑 까마귀 두마리가 죽어 있어서, / 말미길 116번지 바로 앞 전봇대 ",까마귀
530,2022-06-23 12:08,고양이 사체 - 이마트 뒤편 주차장에서 나오는 뚝방길  삼우은성이랑 이마트 사이에 상자에 담아서 두셨음,고양이
531,2022-06-24 08:44,구정약국에서 관대가는방향 도로변(타일학원앞) 노루 로드킬,노루
532,2022-06-24 12:32,입암동  보영반점 앞. 새끼고양이 사체,고양이
533,2022-06-27 09:03,"삼산리 고양촌 앞, 고양이 사체 고양촌 입간앞에 풀숲에 있음.",고양이
534,2022-06-27 10:05,내곡동 관대쪽 4거리 임시 회전교차로쪽에 청동오리 4마리,청동오리
535,2022-06-28 12:08,"사체 - 고양이 , ktx역앞 오거리",고양이
536,2022-06-30 13:05,썬프라자에서 시장쪽으로 가는 도로변에 고양이가 죽어 있다고함. ,고양이
537,2022-06-30 18:22,강릉아레나 회전교차로에서 택지방향으로 세븐일레븐편의점 가기전 지저머에  차에 차인 고양이 있음.,고양이
538,2022-07-01 16:05,"국민콜명주예술마당옆, 새가 다쳐있고하시고 종결됨",새
539,2022-07-04 08:34,로드킬- 입암 1주공 들어가는 입구에서 아기 고양이 사체,고양이
540,2022-07-04 08:57,아기고양이 동물사체 - 노암초등학교  올라가는길 피아노 있는 건물  인도중간에 있음. 학교로 들어가는 인도 중간쯤.  ( 정문에서 보면 아이들 다닐수있게  안전바해놓은부근) ,고양이
541,2022-07-04 10:38,유천택지 회전교차로 지나서 유천동느릅내 내려가는곳  고양이사체 ,고양이
542,2022-07-05 18:16,유승한내들 건너편 이디아커피숍 옆 CU편의점앞에 현금 인출기 틈새에 새끼오리가 들어가있음.,오리
543,2022-07-06 10:01,고양이 사체 신고.교동 현대2차아파트 206동옆 바깥쪽도로에 있음.,고양이
544,2022-07-06 11:55,도로변 사체있음. 병무청에서~ 쌍둥이 회전교차로 방향.죽은지 오래되서 말라 비틀어짐 / ,불명
545,2022-07-06 12:35,"강릉~주문진방향, 오죽헌 지나고 즈므고가전 gs칼텍스 주유소 건너편 남선알미늄 앞이라고함.사체는 노루라고하심.",노루
546,2022-07-06 12:43,"강릉~주문진방향,  즈므고가 가기전 남선샤시앞 강아지사체라고하심.",강아지
547,2022-07-06 14:59,새끼 고라니 로드킬신고강릉대 들어가는 삼거리 큰도로에 있음,고라니
548,2022-07-08 08:54,"경포~ 카이스트방향 도로, 카이스트 지나고 삼거리전에 고양이사체",고양이
549,2022-07-08 09:39,"비둘기가 날개를 다쳐 날지못한다고 연락주심.성덕포남로21-5, 우리누리 노인복지센터",비둘기
550,2022-07-08 17:26,홍익돈가스 사거리 폭포에 강아지 죽어있다고 하심 ,강아지
551,2022-07-11 09:34,"로드킬 고양이, 송정 아이파크 근처, 안목쪽으로 더 가서 우측 중앙차선 근처",고양이
552,2022-07-12 11:25,고양이 사체- 화부산로 99번길 11 앞 도로 ,고양이
553,2022-07-12 17:04,포남동 대동모피 바로 옆 고양이 로드킬 문의,고양이
554,2022-07-13 11:00,새끼고양이 로드킬 신고.하이영진펜션에서 사천해변쪽으로 나가는 도로에있음.,고양이
555,2022-07-15 11:50,"펜션 근처에 고양이 사체  - 안현동 224-56번지 올라가는 길에 고양이 사체 , 오르막 경사로 가운데..씨엔뷰펜션, 탑펜션",고양이
556,2022-07-15 12:22,길거리에 고양이 사체 - 강릉세무서 바로 앞.,고양이
557,2022-07-15 12:36,고양이 로드킬신고강릉시청에서 솔올 교차로 가는방향(7번국도) 단속카메라가 있는곳에서 200m 정도 내려오면 1차선에 죽어있음,고양이
558,2022-07-15 14:19,"고양이 사체. 송정동 시몬스 침대 앞, 현대자동차 대리점 있는 곳",고양이
559,2022-07-15 14:20,[로드킬]송정동 LG전자앞  도로한가운데 로드킬(고양이),고양이
560,2022-07-15 14:22,"고양이 사체. 송정동 시몬스 침대 앞, 현대자동차 대리점 있는 곳",고양이
561,2022-07-15 15:02,[로드킬] 영동대학교 정문~성산면 쪽으로 조금가다보면  첫번째 지하도 유턴하는 곳에 고라니 사체 신고,고라니
562,2022-07-18 08:28,"고양이 사체 -  남대천 다리 위, 경포중학교-> 중앙시장으로 가는 1차선 ",고양이
563,2022-07-18 08:41,"경포오거리~경포방면 300미터 지점, 고양이사체",고양이
564,2022-07-18 11:55,[로드킬) 강릉청유주유소 앞  2차선 고양이 사체,고양이
565,2022-07-18 12:36,"세인트존스~ 강문방향 , 고양이사체 -해안로라고함.",고양이
566,2022-07-18 12:57,"초당순두부 간판있는 입구, 강문동 146-37 고양이로드킬",고양이
567,2022-07-18 13:05,초당두부마을 간판있는곳 고양이 로드킬,고양이
568,2022-07-18 15:34,로드킬 신고-> 하슬라아트월드 들어가는 입구 뱀 죽어있다고 함,뱀
569,2022-07-19 14:25,"[로드킬]강릉역로타리~구터미널 시작부분, 고양이 사체",고양이
570,2022-07-20 08:54,고양이 사체 - 한솔초 사거리에서 한전 내려가는 방향으로 1차선 라인에 고양이 사체 있음 ,고양이
571,2022-07-21 11:03,[로드킬] 병무청에서 로타리지나 농공단지? 바로 건너편 (시청으로 들어오는 길) 고양이 사체,고양이
572,2022-07-21 11:23,"[로드킬] 구정프라자약국앞 신호등 , 새끼 고양이",고양이
573,2022-07-21 13:57," 골목에 고양이 사체  - 형제칼국수 바로 옆에 집 , 황기석쇠불고기 ",고양이
574,2022-07-22 11:32,강아지 사체신고.( 구정초등학교  바로 인근 다리위에 있음),강아지
575,2022-07-22 11:55,구정초등학교 앞 다리.고양이사체 신고인:,고양이
576,2022-07-25 08:29,객사문사거리 농협횡단보도앞 동물사체,불명
577,2022-07-25 08:32,죽헌길156 . 너구리사체,너구리
578,2022-07-25 09:02,내곡동~ 구정면가는길 삼교리막국수 가기전 고양이사체,고양이
579,2022-07-25 09:13,동치미막국수 ~내곡동 방향 삼교리막국수 지나자마자  1차선에 고양이사체 ,고양이
580,2022-07-25 09:19,교동 삼교리막국수 바로 앞 고양이 로드킬 신고 문의,고양이
581,2022-07-25 16:09,고양이 로드킬 1. 사천면 진리해변길 솔바로횟집 바로앞 주차장에 고양이 사체있음2. 사천 회전교차로(중앙동로) 돌면 바로있음. (농협가는길),고양이
582,2022-07-25 16:34,강아지사체 신고(정확한 위치 파악 안됨)주문진 도깨비촬영지 버스승강장 인근에 멤버스모텔 건너편 백사장. 도로연석에 물빠지는 하수구있는쪽에있음. 확시 누가 먼저 치웠을경우에는 바닥에있는 피를제거해달라고 요청하였음.,강아지
583,2022-07-26 08:29,"월대산로85-29, 새가 다쳤다고 연락주심",새
584,2022-07-27 08:30,"사체 - 율곡로2698, 블루핸드 입암점 앞에 신호등 잇는 횡단보도, 고양이 사체 ",고양이
585,2022-07-27 08:51,"로드킬- 청솔공원 들어가는 자회전차선, 주문진방면,삼거리 동물사체, ",불명
586,2022-07-27 09:17,"고양이사체, 사천에서 청솔공원 가기 직전 신호받기 전 부근 도로에 있음.",고양이
587,2022-07-27 16:08,홍제동주민센터 위 농협주유소 앞 고양이 사체,고양이
588,2022-07-28 08:34,"로드킬 - 남강릉 IC가는 길에 박월마을(수영장있는쪽)  지나서 직진해서 200미터 가면 있음. 큰 고양이 , 강아지","고양이,강아지"
589,2022-07-28 08:37,산양큰길24번길 4 고양이사체,고양이
590,2022-07-28 11:56,"[로드킬]교1동주민센터 옆 도로 교동광장로 4거리, 고양이사체",고양이
591,2022-07-28 12:31,"고양이 사체 - 교1동 주민센터 앞, 치과대학가는 2차선 고양이 사체",고양이
592,2022-07-28 16:00,[로드킬] 고양이 사체  노암동 남부로 131 수원왕갈비~ 관대쪽 조금만 올라오다보면 (50미터쯤?) 술통(음식점) 바로 앞 인도 ,고양이
593,2022-07-29 12:59,고양이 로드킬 신고 위치 : 아산병원에서 시내로 오다보면 과학단지 빠지기전에 도로변에 있음 ,고양이
594,2022-07-29 13:07,"사천=>강릉방향 즈므고가 시작점, 강아지 사체",강아지
595,2022-07-29 13:23,"로드킬 동물 사체, 주문진에서 나오다 보면 즈므고가 도로 가기 전, 멤버스골프장. / 고양이 또는 강아지 사체",고양이 or 강아지
596,2022-08-01 17:22,"경포에 주문진 오는 길 동물사체, 사근진해변 쪽 cu편의점 조금 못와서, 고양이 사체",고양이
597,2022-08-04 08:42,고양이 로드킬신고.택지~터미널방향의 회전교차로에 있음.,고양이
598,2022-08-04 15:17,고라니 사체 신고.하슬라아트월드 입구에서 정동진방향으로 있음.,고라니
599,2022-08-05 12:02,"성산 산북리, 별내리는 산북가게에서 위로 올라가는 길에 고양이 사체있다고 하심.",고양이
600,2022-08-05 17:35,[로드킬] 롯데주류  강건너 맞은편 예전한전 자리  도로에 고양이사체,고양이
601,2022-08-05 17:52,"[로드킬] 남부로 283 ,대승포장건설 앞 도로, 고양이사체",고양이
602,2022-08-05 18:04,"남부로 283 ,대승포장건설 앞 도로, 고양이사체",고양이
603,2022-08-08 12:22,인도위에 죽은  생쥐있음. 처리 요청.교동택지 24시콩나물국밥 가게와 옆건물 사이 인도위에 있음.,쥐
604,2022-08-09 08:46,고양이 사체 -  남항진-> 중앙초 가는길 현포도 앞쪽 2차선,고양이
605,2022-08-10 15:00, 파인아트라벨 맞은편 낚시줄에 걸려서갈매기가 날지못하고 있다고 안내,갈매기
606,2022-08-10 16:13,로드킬 강릉속기 사무소 바로 앞 로드킬 신고 ,불명
607,2022-08-10 16:45,"다친 고양이 구조 문의 , 택지 부영아파트 501동 부근 ",고양이
608,2022-08-11 09:33,"옥천로19번길 16 구. 대신화물자리(썬 소주방), 고양이 사체",고양이
609,2022-08-11 12:13,[로드킬]고양이 사체- 법원건물 뒷길 골프장 가는길 쓰레기배출장소부근 도로가,고양이
610,2022-08-11 17:36,고양이 로드킬MBC 방송국 앞 도로변 ,고양이
611,2022-08-12 09:03,"고양이 사체, 입암동 능나도회냉면 가게 앞 성덕로 차도 쪽에 한마리 ",고양이
612,2022-08-12 10:15,고라니 사체 처리  택지 송원불가마,고라니
613,2022-08-12 14:24,110번- 로드킬 신고위치:입암동 이글스크린골프 앞 도로 새끼고양이 사체/ ,고양이
614,2022-08-16 09:02,"로드킬 신고, 이마트 쪽에서 옥천동 방향 가는 길, 유니클로 가기 전 구간 / 아기고양이 1차선 도로 중앙",고양이
615,2022-08-16 10:20, 고양이 사체 처리 요청 - 명성흙염소 ( 옥천동) 식당뒤에 길고양이가 죽어서 사체 냄새남.   수문길 60-1,고양이
616,2022-08-16 10:50,로드킬 신고 -> 영동고속도로 강릉ic 로드킬 신고건에 대한 문의,불명
617,2022-08-17 09:44,죽은쥐 위치 : 가작로 252번길 20 안다미로피부관리샵 앞 ,쥐
618,2022-08-17 10:25,"청솔모 사체, 주문진-강릉 나가는 방향 도로 (7번국도) 구라미온천에서 조금 더 넘어가서 1차선 중앙 가드레일 쪽",청솔모
619,2022-08-17 12:57,"(로드킬)영진해변 해수욕장 초입에  버거집 못가서  커피숍, 처음처럼횟집앞 , 새끼고양이 ",고양이
620,2022-08-17 13:38,고양이 사체 신고 왕산면 말구리제쉼터 2차선도로에 있음,고양이
621,2022-08-17 18:28,주문진2주공아파트~우신아파트 가는길 굴다리 . 다친 새끼고라니 ,고라니
622,2022-08-18 08:38,"안인발전소 근처, 낚시줄에 갈매기가 걸림.",갈매기
623,2022-08-18 09:23,도로에 고양이 사체 - 강릉의료원쪽 버드나무 브루어리 술집 앞 도로  ,고양이
624,2022-08-19 16:01,장덕리 수해복구현장 갔 장덕1리 마을회관 들어가는 큰 다리(천건너간는 )  입구 대로 검은개 사,개
625,2022-08-19 16:59,"집 앞에 참새가 7마리 정도 되는데, 나란히 일렬로 죽어있음. 교동 1898-13, 행복이가득한집. 근처에 버거킹 있음",참새
626,2022-08-22 12:40,테라로사 경포점에서 올림픽파크 가는 방향 도로변 고양이 로드킬 cu편의점 지나서 1차선 ,고양이
627,2022-08-22 13:01,고양이 로드킬신고주문진에서 강릉가는방향 7번국도 부근 S-OIL 주유소 있음. 주유소 반대편 차선에 노란색고양이 죽어있음,고양이
628,2022-08-23 10:19,상가 주택가. 로드킬 당한 고양이강릉대로210번길 5-3 이경혜어 바로 앞,고양이
629,2022-08-24 09:22,"[로드킬]회산동 경로당 바로 앞, 고양이 사체; 회산떡방 지나 우회전  힐스테이트아파트 들어가는 진입로, 회산마을회관(경로당) 바로 앞 도로 ",고양이
630,2022-08-24 10:14,"회산동 경로당 바로 앞, 고양이 사체; 회산떡방 지나 우회전  힐스테이트아파트 들어가는 진입로, 회산마을회관(경로당) 바로 앞 도로 ",고양이
631,2022-08-24 14:46,고양이 로드킬 신고강릉커피명주가 라인에서 병산마을 들어가는 방향으로 차고지로 사용하는 넓은공터있음. 공터입구 인도위에 있음. ,고양이
632,2022-08-24 15:03,"장덕리쪽 고라니 새끼가 다쳐서, 신리천로라고 되어있고 장덕리복숭아마을 들어와서 파란색창고있는 도로 옆,",고라니
633,2022-08-25 08:50,새끼고양이 로드킬 신고.강릉경찰서에서 강릉역회전교차로 방향으로 100m정도간 지점의 중앙선에 있음.,고양이
634,2022-08-25 11:46,"강아지 사체, 남대천 둔치 주차장, 영생당한약방 계단 올라와서 왼쪽편 나무 그늘",강아지
635,2022-08-29 10:07,위촌리 이주환갈비탕 입구에 고양이사체 있음.,고양이
636,2022-08-30 10:53,"[로드킬]  이건창호마루(남부로 166) 부근 반대편 차선 (횡단보도 지나서  ) ,고양이 사체 ",고양이
637,2022-08-30 10:55,고양이 로트킬 신고강남촌 인근에 카센터 있음. 그지점 도로중앙에 있음.(방향은 관대방향),고양이
638,2022-08-30 11:38,"경포고~초당넘어가는길, 포남2주공부근 /고양이사체 ",고양이
639,2022-08-30 16:41,주소:주문진 항구로 60 / 광명건어물 앞 도로 고양이 사체있음*신고인,고양이
640,2022-08-31 14:23,교동 하나약국 바로 앞 도로에 새가 죽어 있다고 하심,새
641,2022-08-31 14:59,"도로에 고양이 사체  - 입암동, 고성생선찜 옆에 고기집 상가앞 보도블럭에 있음. 보도블럭에 화분 옆쪽",고양이
642,2022-08-31 15:02,"고양이 사체 처리 건, 강릉시 남산초교길 25번길 23 남산그린슈퍼 앞 주차장에 사체 1구 있음",고양이
643,2022-09-01 09:08,고양이사체 신고.강릉노동부 건너편 신호등 지점에 있음,고양이
644,2022-09-01 09:51,"화부산로 8번길 5, 집 앞에 바로 고양이 로드킬 문의",고양이
645,2022-09-02 08:38,"고양이 사체 - 교1동 주민센터에서 7번국도 타고 내곡동쪽으로 가는길, 오른쪽 유천 소방서로 빠지는 길쯤에 있음.",고양이
646,2022-09-05 09:38,(로드킬) 주문북로 116-5 빌라 들어가는 입구 도로변에 고양이 로드킬,고양이
647,2022-09-06 09:55,고양이로드킬적십자 사거리 현대자동차에서 하이마트 방향 도로변에 있음,고양이
648,2022-09-06 16:53,"국민콜 110- 로드킬 사체 신고. 위치 : 초당동 송도불향쭈꾸미 도로 앞, 새끼 강아지가 차에 치여 경련을 일으키고 있음.",강아지
649,2022-09-06 16:54,"강아지사체, 초당 한솔순두부 앞",강아지
650,2022-09-07 09:12,110번-매장에 다친박쥐있음주소:강변로 50,박쥐
651,2022-09-08 09:36,[로드킬] 포남동  대영주유소 맞은편 정선달 고기집 바로앞 고양이사체,고양이
652,2022-09-13 08:32,로드킬 -> 노암동 안땔골 농원 바로 앞 도로변 고양이 로드킬 ,고양이
653,2022-09-13 15:18,고양이 로드킬강남동에서 한국자동차매매 지나서 정동진 넘어가는 동해대로 도로변 사거리에 고양이 사체 있음  ,고양이
654,2022-09-13 17:10,[국민콜]로드킬-박월길 2번길 논둑길; 수영장과 민속박물관 들어가는 입구 사이 논둑길에 고라니사체 죽은지 오래된것같음,고라니
655,2022-09-14 14:45,"고양이 로드킬, 유천동 ~ 송암 즈므가는 쪽 과학단지로 가는 길 굴다리 가기 전(송암 이정표) 오른쪽 차선",고양이
656,2022-09-14 17:00,"도로변 고양이 사체 있음. -  노암동에서 7번국도 올라가는 새로난 길,  올라가다보면 직진하면 모산, 왼쪽으로 가면 동해가는곳, 오른쪽 교동쪽.신호대기하기전에 공사하는곳있고 그 앞도로변 ",고양이
657,2022-09-16 11:50,"노루 사체, 강원모터스 공장 맞은 편 밭두렁",노루
658,2022-09-16 17:21,[로드킬]경포현대아파트 뒷길에서 보면 111동이 바로 보이는데  맞은편 빨간집옆 비닐하우스 앞 강아지사체가 있음 ,강아지
659,2022-09-19 08:46,회산동 홍제스크린 도로바로 앞 도로변 로드킬신고,불명
660,2022-09-19 08:47,로드킬 사체신고- 상호면 변경지디알아카데미하슬라점. 회산동에서 시청 나가는 방향. ,불명
661,2022-09-19 16:08,"[로드킬]고양이사체,초당동 세양청마루 아파트 입구 아스팔트 위",고양이
662,2022-09-21 11:25,"동물사체, 삼개사~ 사거리 신호등 방향 내려가는 길에 사체있다고 하심.",불명
663,2022-09-22 08:52,성산에서 영동전문대 내려오는길에 영전 못 가서 중간에 중앙선 철망옆에 고양이 사체 있음.  ,고양이
664,2022-09-22 13:01,[로드킬] 왕산면 들꽃마을 버스 승강장,불명
665,2022-09-23 09:30,포남동 용지아파트 도로변 고양이 로드킬 있음. 경강로 2213 디자인데코 앞 대로변에 있음,고양이
666,2022-09-26 08:38,로드킬 동물사체 - 박월동 수영장에서 위쪽 남강릉IC방향으로 올라가면 삼거리 나옴. 삼거리 지나면 반대편 있음. 진돗개 새끼 사체 ,개
667,2022-09-26 09:02,학산교차로에서~강릉수영장 방향으로 동물사체 있음.,불명
668,2022-09-26 09:17,로드킬 동물사체- 구정 학산교차로에서 강릉방면으로 들어가는길에 강아지 사체  ,강아지
669,2022-09-27 08:59,"고양이 사체 - 임당동 선거관리위원회 옆길, 나무옆에 사체 있음.",고양이
670,2022-09-28 09:09,"동물사체 - 국군강릉병원 좌회전하는곳, 7번국도에서 국군강릉병원으로 좌회전하는길에 있음. 국군강릉병원 들어가는 입구 좌회전, 강아지 사체, ",강아지
671,2022-09-28 10:44,포남배수지 옆쪽 산길 고라니로드킬 관련으로 연결 요청 ,고라니
672,2022-09-28 10:46,동물 강아지 사체 - 양양에서 주문진 나오는 쪽 향호주유소 입구 ,강아지
673,2022-09-30 08:44,1주공에서 롯데캐슬 큰 도로 사이 고양이 로드킬 신고 ,고양이
674,2022-09-30 09:40,고양이사체 신고.강동주유소 회전교차로 지나서 백암순대국 방향으로 2차선 도로위에 있음.,고양이
675,2022-09-30 11:46,호호애견지나 명륜고 올라가는길에 강아지 사체,강아지
676,2022-10-04 11:22,"로드킬 신고(새끼고양이), 교동 길막국수 - 강릉교회 방면 회전교차로 있음/회전교차로랑 길막국수 사이 도로, ",고양이
677,2022-10-07 17:35,"고양이 사체, 관동대 정문 세븐일레븐앞에 있다고 하심.",고양이
678,2022-10-13 08:37,고양이 사체 - 18전투비행단 신호등있는 사거리,고양이
679,2022-10-13 13:21,"성연로897, 고양이사체",고양이
680,2022-10-17 09:51,고양이 사체 - 새로생긴 회전 교차로  ( 강남자동차매매상 적혀있는곳 전 )  지나서 2차선 지나서 사체 있음. 남강릉 IC,고양이
681,2022-10-17 10:57,"사체 - 성산면에서 시내방향, 나오는 도로상에 주문진 과학단지로 빠지는 고가도로 직전에 사체 있음. 사체 종류는 알수없음. ",불명
682,2022-10-17 12:20,"입암동 맘스터치 건물뒤 주차장 비둘기 사체있음, ",비둘기
683,2022-10-17 14:30,고양이 로드킬 신고-> 교1동 주민센터 사거리에서 시청 방향 쪽 ,고양이
684,2022-10-17 14:30,솔올교차로 부근 동물사체,불명
685,2022-10-17 16:57,주문진-> 강릉 방향 청솔공원 사거리 대기하는데 노루가 치어서 죽음. ,노루
686,2022-10-17 17:10,고라니 사체 로드킬 신고 - 사천방향 청솔공원 앞 쪽 ,고라니
687,2022-10-18 12:16,"강릉 IC 강릉으로 들어오면서 국도로 들어서는 입구, 안전지대에 고양이 사체 ",고양이
688,2022-10-19 08:31,"사체- 종합운동장 주변에 LPG충전소에서  10미터 정도  ( 율곡중학교쪽으로 내려가는길) 자동차매매상 있는길에서 경포오거리 방향으로  고양이 1, 2차선 사이 전달  ",고양이
689,2022-10-19 08:47,고양이 사체 - 내곡동 범일로 주유소에서 기산아파트 방향 이누스바스(욕실용품) 바로 앞 도로변 ,고양이
690,2022-10-19 08:56,로드킬 신고 -> 관동대학교에서 구정방향 기산아파트 대로변에 고양이 로드킬 신고 문의,고양이
691,2022-10-19 09:37,"국토관리사무소, 내곡동 아우라지식당 앞 고양이 사체",고양이
692,2022-10-19 13:26,로드킬 신고 -> 장덕리 500년 은행나무 바로 앞 큰길 도로변 고양이 로드킬신고 ,고양이
693,2022-10-20 08:54,로드킬 신고 ->7번국도 강릉대에서 주문진 방향 도로변 ,불명
694,2022-10-20 15:21,"고양이사체, 강릉원주대 기숙사 사임당관에서 나오는길, 운동기구 있는 곳이라함.",고양이
695,2022-10-24 08:38,로드킬 -> 즈므고가 아산병원 가는 방향 고가 끝쪽 중앙분리대 로드킬,불명
696,2022-10-24 08:48,월화의거리 버스킹 행사하는곳에 고양이 사체 있음,고양이
697,2022-10-25 16:57,[로드킬] 작은새가 유리에 부딪혀 죽음 레드망치 건물내  -,새
698,2022-10-26 08:56,"공군부대, 부대안에 너구리있음. 길가에 다쳐있음. ",너구리
699,2022-10-26 09:19,[로드킬] 현성공장 도로앞 고라니사체 있음.주소: 율곡로 2317.,고라니
700,2022-10-26 15:53,입암 5주공 세븐일레븐 편의점 앞 도로 한 가운데 있음(고양이사채).,고양이
701,2022-10-26 15:53,녹원아파트 앞 도로에 고양이 사체 처리 요청,고양이
702,2022-10-27 09:21,"동물사체 - 강아지 사체종류, 국군강릉병원앞 삼거리, ",강아지
